----[BEISTRICH GETRENNTE CSV!]
----Code, Parent Key Columns, Child Key Columns 
AKR_AKA,AKA_FIRMENNR; AKA_KOSTENARTNR,FIRMENNR; KOSTENARTNR
AKS_AKK,AKKID,AKKID
WFN_AKK,AKKID,AKKID
APO_AKO,AGGKOPFID,AGGKOPFID
AKR_AKR,VERDECKT_AKRID,AKRID
ASR_AKS,AKS_AKKID; AKS_AKSNR,AKKID; AKSNR
AUG_AKS,AKSNR; AKKID,AKSNR; AKKID
AST_AKT,AKT_FIRMENNR; AKTIONSSTAMMNR,FIRMENNR; AKTIONSSTAMMNR
BOP_AKT,AKT_AKTIONSSTAMMNR; AKT_FIRMENNR,AKTIONSSTAMMNR; FIRMENNR
BOR_AKT,AKT_FIRMENNR; AKT_AKTIONSSTAMMNR,FIRMENNR; AKTIONSSTAMMNR
ERO_AKT,AKTIONSSTAMMNR; AKT_FIRMENNR,AKTIONSSTAMMNR; FIRMENNR
KAP_AKT,AKT_FIRMENNR; AKT_AKTIONSSTAMMNR,FIRMENNR; AKTIONSSTAMMNR
KRA_AKT,AKT_FIRMENNR; AKT_AKTIONSSTAMMNR,FIRMENNR; AKTIONSSTAMMNR
PKT_AKT,AKT_FIRMENNR; AKT_AKTIONSSTAMMNR,FIRMENNR; AKTIONSSTAMMNR
PTZ_AKT,AKT_AKTIONSSTAMMNR; AKT_FIRMENNR,AKTIONSSTAMMNR; FIRMENNR
RNP_AKT,AKT_FIRMENNR; AKTIONSSTAMMNR,FIRMENNR; AKTIONSSTAMMNR
VST_AKT,AKT_FIRMENNR; AKTIONSSTAMMNR,FIRMENNR; AKTIONSSTAMMNR
VSW_AKT,AKT_FIRMENNR; AKTIONSSTAMMNR,FIRMENNR; AKTIONSSTAMMNR
WSK_AKT,AKTIONSSTAMMNR; AKT_FIRMENNR,AKTIONSSTAMMNR; FIRMENNR
WSS_AKT,AKTIONSSTAMMNR; AKT_FIRMENNR,AKTIONSSTAMMNR; FIRMENNR
ERO_AKT,AKT_FIRMENNR_RABATT; AKTIONSSTAMMNR_RABATT,FIRMENNR; AKTIONSSTAMMNR
