GLV_GLT_FIBUNR (PK);GLV_GLT_FIBUNR
GLV_GLT_GLSCHEMANR (PK);GLV_GLT_GLSCHEMANR
GLV_GLT_GLTEXTNR (PK);GLV_GLT_GLTEXTNR
GLV_GLSCHEMANR (PK);GLV_GLSCHEMANR
GLV_GLTEXTNR (PK);GLV_GLTEXTNR
GLV_GLT_ISTEIGENE (PK);GLV_GLT_ISTEIGENE
GLZ_FIRMENNR (PK);GLZ_FIRMENNR
GLZ_FIBUNR (PK);GLZ_FIBUNR
GLZ_KONTONR (PK);GLZ_KONTONR
GLZ_GLSCHEMANR (PK);GLZ_GLSCHEMANR
GLZ_GLTEXTNR (PK);GLZ_GLTEXTNR
GMG_PER_FIRMENNR (PK);GMG_PER_FIRMENNR
GMG_PER_PERSONENID (PK);GMG_PER_PERSONENID
GMG_GRPMGLJAHR (PK);GMG_GRPMGLJAHR
GMG_GRPMGLMODELL (PK);GMG_GRPMGLMODELL
GMG_GRPMGLART (PK);GMG_GRPMGLART
GMG_GRPMGLLFDNR (PK);GMG_GRPMGLLFDNR
GND_GNHID (PK);GND_GNHID
GND_GES_FIRMENNR (PK);GND_GES_FIRMENNR
GND_GES_PERSONENID (PK);GND_GES_PERSONENID
GND_GES_PERSONUNTERNR (PK);GND_GES_PERSONUNTERNR
GND_LFDNR (PK);GND_LFDNR
GNH_GNHID (PK);GNH_GNHID
GSV_PER_FIRMENNR (PK);GSV_PER_FIRMENNR
GSV_PERSONENID (PK);GSV_PERSONENID
GSV_BERECHNUNGSJAHR (PK);GSV_BERECHNUNGSJAHR
GSV_GSVGMODELL (PK);GSV_GSVGMODELL
GTZ_FIRMENNR (PK);GTZ_FIRMENNR
GTZ_FIBUNR (PK);GTZ_FIBUNR
GTZ_SPRACHNR (PK);GTZ_SPRACHNR
GTZ_GLSCHEMANR (PK);GTZ_GLSCHEMANR
GTZ_GLTEXTNR (PK);GTZ_GLTEXTNR
GTZ_ISTEIGENE (PK);GTZ_ISTEIGENE
HEB_GV_ISYS (PK);HEB_GV_ISYS
HEB_HEBJAHR (PK);HEB_HEBJAHR
IAB_IABID (PK);IAB_IABID
IZS_FIRMENNR (PK);IZS_FIRMENNR
IZS_FIBUNR (PK);IZS_FIBUNR
IZS_KONTONR (PK);IZS_KONTONR
IZS_SUMMEN_VORJAHR (PK);IZS_SUMMEN_VORJAHR
IZS_INVZUART (PK);IZS_INVZUART
IZS_INVZULFDNR (PK);IZS_INVZULFDNR
JAB_JAKNR (PK);JAB_JAKNR
JAB_FIRMENNR (PK);JAB_FIRMENNR
JAB_FIBUNR (PK);JAB_FIBUNR
JAB_JABREIHE (PK);JAB_JABREIHE
JAK_JAKNR (PK);JAK_JAKNR
KAU_FIRMENNR (PK);KAU_FIRMENNR
KAU_FIBUNR (PK);KAU_FIBUNR
KAU_GLSCHEMANR (PK);KAU_GLSCHEMANR
KAU_GLTEXTNR (PK);KAU_GLTEXTNR
KAU_KONTONR (PK);KAU_KONTONR
KAU_BUCHUNG_POSNR (PK);KAU_BUCHUNG_POSNR
KAU_AUFGLIEDERUNG_LFDNR (PK);KAU_AUFGLIEDERUNG_LFDNR
LAB_BELEGID (PK);LAB_BELEGID
LAB_FIRMENNR (PK);LAB_FIRMENNR
LAB_FIBUNR (PK);LAB_FIBUNR
LAB_LABKONTOART (PK);LAB_LABKONTOART
LAS_FIRMENNR (PK);LAS_FIRMENNR
LAS_FIBUNR (PK);LAS_FIBUNR
LAS_KONTONR (PK);LAS_KONTONR
LAS_SUMMEN_VORJAHR (PK);LAS_SUMMEN_VORJAHR
LAS_LTSLFDNR (PK);LAS_LTSLFDNR
LBZ_BELEGID (PK);LBZ_BELEGID
LBZ_FIRMENNR (PK);LBZ_FIRMENNR
LBZ_FIBUNR (PK);LBZ_FIBUNR
LBZ_BERECHNUNGSART (PK);LBZ_BERECHNUNGSART
LBZ_LRSID (PK);LBZ_LRSID
LGN_LANDNR (PK);LGN_LANDNR
LGN_LGNJAHR (PK);LGN_LGNJAHR
LRK_FIRMENNR (PK);LRK_FIRMENNR
LRK_FIBUNR (PK);LRK_FIBUNR
LRK_LRKRSTART (PK);LRK_LRKRSTART
LRK_LRKBUCHUNGSART (PK);LRK_LRKBUCHUNGSART
LRK_LRSID (PK);LRK_LRSID
LRS_LRSID (PK);LRS_LRSID
LRS_FIRMENNR (PK);LRS_FIRMENNR
LRS_FIBUNR (PK);LRS_FIBUNR
LSK_FIRMENNR (PK);LSK_FIRMENNR
LSK_FIBUNR (PK);LSK_FIBUNR
LSK_LSKKONTOART (PK);LSK_LSKKONTOART
LSK_LSKBUCHUNGSART (PK);LSK_LSKBUCHUNGSART
MKO_FIRMENNR (PK);MKO_FIRMENNR
MKO_PERSONENID (PK);MKO_PERSONENID
