---manuelle Felder:


---Felder von SQL Datenbank
Code,Comment,Description,Datentyp
AAZ_FREIFELDA04,,,A120
AAZ_FREIFELDA05,,,A120
AAZ_LETZTERUSER,,,A10
AAZ_MAXIMUM_PROZENT,,,numeric (9. 3)
AAZ_POSTITNR,,,N15
AAZ_PROD_ARL_ARTIKELNR,,,A50
AAZ_PROD_ARL_FIRMENNR,,,N10
AAZ_PROD_ARTIKELIDLFDNR,,,N15
AB1_ARB_AENDERUNGSDATUM,,,DATE
AB1_ARB_ARTIKELNR,,,A50
AB1_ARB_BEREICH,,,N2
AB1_ARB_BESCHR_FIRMENNR,,,N10
AB1_ARB_BESCHR_WWSTEXTBNR,,,N15
AB1_ARB_ERSTELLDATUM,,,DATE
AB1_ARB_ERSTELLUSER,,,A10
AB1_ARB_FARBE_ZWINGEND,,,N1
AB1_ARB_FIRMENNR,,,N10
AB1_ARB_GROESSE_ZWINGEND,,,N1
AB1_ARB_IST_GESPERRT,,,N1
AB1_ARB_KURZBESCHR_FIRMENNR,,,N10
AB1_ARB_KURZBESCHR_WWSTEXTBNR,,,N15
AB1_ARB_LETZTERUSER,,,A10
AB1_ARB_VORG_FARBENNR,,,N10
AB1_ARB_VORG_FRB_FIRMENNR,,,N10
AB1_ARB_VORG_GRO_FIRMENNR,,,N10
AB1_ARB_VORG_GROESSENKBEZ,,,A10
ABD_ABDID,,,bigint (19. 0)
ABD_AENDERUNGSDATUM,,,DATE
ABD_BETRAG,,,numeric (24. 9)
ABD_BNZEILEID,,,bigint (19. 0)
ABD_DIENSTVLFDNR,,,N4
ABD_DVFIRMENNR,,,N10
ABD_ERSTELLDATUM,,,DATE
ABD_ERSTELLUSER,,,A10
ABD_FFINANZAMTLFDNR,,,N4
ABD_FGEMEINDELFDNR,,,N4
ABD_FIRMENNR,,,N10
ABD_GKKLFDNR,,,N4
ABD_INFO,,,numeric (24. 9)
ABD_JAHR,,,N4
ABD_LETZTERUSER,,,A10
ABD_LOHNARTID,,,bigint (19. 0)
ABD_MENGE,,,numeric (24. 9)
ABD_MITARBEITERID,,,A16
ABD_MONAT,,,N2
ABD_MONAT_AUFR,,,N2
ABD_PSMISTORG,,,N1
ABD_SATZ,,,numeric (24. 9)
ABD_TAGE,,,numeric (24. 9)
ABD_ZUSATZ_BETRAG,,,numeric (24. 9)
ABF_ABFRAGEBEZ,,,A150
ABF_ABFRAGEKZ,,,N1
ABF_ABFRAGENR,,,N15
ABF_AENDERUNGSDATUM,,,DATE
ABF_BERECHT,,,A200
ABF_BERECHTPAKETNR,,,N4
ABF_BLS_BLOBLFDNR,,,N15
ABF_BMDUSERID,,,A10
ABF_DBVERSION,,,A10
ABF_DOGTABELLENNAME,,,A40
ABF_EDIT_DOG,,,A10
ABF_ERSTELLDATUM,,,DATE
ABF_ERSTELLUSER,,,A10
ABF_EXPORTPARAMETER,,,A1024
ABF_FARBCODENR,,,N2
ABF_FARBCODETABNR,,,N4
ABF_HAUPTGRUPPE,,,N9
ABF_ISTDISTINCT,,,N1
ABF_KONTEXTFUNKTIONSNR,,,A60
ABF_LETZTERUSER,,,A10
ABF_LOGDATEINAME,,,A255
ABF_MATCHCODE,,,A30
ABF_POSTITNR,,,N15
ABF_PRIVATABFRAGE,,,N1
ABF_SHOW_DOG,,,A10
ABF_SQLTEXT,,,BIGSTRING
ABF_SQLTEXT1,,,A4000
ABF_UNTERGRUPPE,,,N9
ABF_VGESPERRT,,,N1
ABG_AENDERUNGSDATUM,,,DATE
ABG_AUFR_BETRAG,,,numeric (24. 9)
ABG_AUFR_MENGE,,,numeric (24. 9)
ABG_AUFR_SATZ,,,numeric (24. 9)
ABG_AUFR_TAGE,,,numeric (24. 9)
ABG_AUFR_ZUSATZ_BETRAG,,,numeric (24. 9)
ABG_DIENSTVLFDNR,,,N4
ABG_ERSTELLDATUM,,,DATE
ABG_ERSTELLUSER,,,A10
ABG_FIRMENNR,,,N10
ABG_IST_BETRAG,,,numeric (24. 9)
ABG_IST_MENGE,,,numeric (24. 9)
ABG_IST_SATZ,,,numeric (24. 9)
ABG_IST_TAGE,,,numeric (24. 9)
ABG_IST_ZUSATZ_BETRAG,,,numeric (24. 9)
ABG_JAHR,,,N4
ABG_LETZTERUSER,,,A10
ABG_LOHNARTID,,,bigint (19. 0)
ABG_MITARBEITERID,,,A16
